Field Name,Field Type,Field Kind,Field Default,English,German,French,Spanish,Italian
Billing Address Street,Text,F,,Billing Address Street|,Rechnungsadresse Straße|Straße der Rechnungsadresse,Adresse de facturation Rue,Billing Address Street|,Indirizzo di fatturazione Via|Indirizzo di fatturazione Viale
Billing Address City,Text,F,,Billing Address City|,Rechnungsadresse Stadt|Stadt der Rechnungsadresse,Adresse de facturation Ville,Billing Address City|,Indirizzo di spedizione Città|Indirizzo di spedizione Comune
Billing Address State,Text,F,,Billing Address State|,Rechnungsadresse Staat|Staat der Rechnungsadresse|Bundesland der Rechnungsadresse,État Adresse de facturation,Billing Address State|,Stato indirizzo di fatturazione|Regione Indirizzo di fatturazione
Billing Address Zip,Text,F,,Billing Address Zip|,Rechnungsadresse Postleitzahl|Postleitzahl der Rechnungsadresse,Adresse de facturation Zip,Billing Address Zip|,Indirizzo di fatturazione CAP|Indirizzo di fatturazione codice postale|Indirizzo di fatturazione codice d`avviamento postale
Billing Address Country,Text,F,,Billing Address Country|,Land der Rechnungsadresse|Rechnungsadresse Land,Adresse de facturation Pays,Billing Address Country|,Indirizzo di fatturazione Paese
Requisitioner,Text,F,,Requisitioner|,Anforderer|Auftragsgeber|Besteller,Demandeur,Requisitioner|,Requisitioner|requisitionist
Ship Via,Text,F,,Ship Via|Via|Shipped Via,Versenden per|versending mit,Transporté par,Ship Via|Via|Shipped Via,Spedire via|spedire tramite|consegnare via|consegnare tramite
shipping terms,Text,F,,shipping terms|Freight terms,Versandbedingungen|,conditions d'expédition,shipping terms|Freight terms,termini di spedizione|condizioni di spedizione
FOB,Text,F,,F.O.B.|FOBF.O.B,F.O.B.|FOB|Frachtkosten,F.A.B.|FOB,F.O.B.|FOBF.O.B,F.O.B.|FOB|franco a bordo
Item Number,Text,TC,,Item Number|Item #|item id|Product Number|Product No.,Artikelnummer|Artikel #|Artikel-ID|Produktnummer,Numéro d'article|# Item|id article|numéro de produit|No. de produit|Nº de poste,Item Number|Item #|item id|Product Number|Product No.,Item Number|Item #|oggetto id|numero del prodotto|Codice prodotto|codice del produtto|produtto numero|produtto n
Item name,Text,TC,,Item Name|product name|product|Item,Artikelname|Produktname|Produkt|Artikel|Warenname|Produktbezeichnung,Nom de l'article|le nom du produit|produit|article,Item Name|product name|product|Item,Nome dell'articolo|il nome del prodotto|il prodotto|prodotto|articolo
item description,Text,TC,Y,Item Description|Item Desc.product description|product desc|description|desc.|PART NUMBER / DESCRIPTION,Beschreibung Artikel|Artikel-Beschr.|Produktbeschreibung|Produkt ab|Beschreibung|ab.,Description de l'objet|article Desc.|Description du produit|produit desc|description|desc.DésignationDesignation,Item Description|Item Desc.product description|product desc|description|desc.|PART NUMBER / DESCRIPTION,Descrizione|Descrizione del prodotto|il prodotto eisc|descrizione|desc.
stock quantity,Number,TC,,stock quantity|,Bestandsmenge|Warenvorratsmenge|Inventur|Vorratsmenge|Produktmenge|Artikelment|Produktvorrat,quantité en stock,stock quantity|,quantità di stock
quantity,Number,TC,Y,Quantity|qty #|item quantity|item qty.|product quantity|product qty.QtyORIG QTY|ORDERED QTY,Menge|Menge # Artikelmenge|Teil Stück.|Produktmenge|Produktmenge.,Quantitéqté #|quantité d'article|article Cdt.|La quantité de produit|qté.Qté / Unité,Quantity|qty #|item quantity|item qty.|product quantity|product qty.QtyORIG QTY|ORDERED QTY,Quantità|la quantità|qty #|la quantità|voce qty.|Quantità di prodotto|quantità di prodotto|Qta|Q.ta
unit price,Number,TC,,P.O. Date|Date|Order Date|Purchase Order Date|Date of Order,P. O. Datum|Datum|Bestelldatum|Bestellungsdatum|Datum der Bestellung|Datum des Auftrags|Auftragsdatum,P.O. Date|Date|Date de commande|DU :DU:DU,P.O. Date|Date|Order Date|Purchase Order Date|Date of Order,Prezzo unitario|prezzo|prezzo unità
Item Total,Number,TC,Y,Purchase Order Number|PO Number|P.O. Number|Purchase Order|PO|P.O. |P.O. #|Order Number,Bestellnummer|Auftragsnummer|P. O. Anzahl|Bestellung|PO|P. O. |P.O. #|Bestellungsnummer|,Numéro de commande|P.O. Nombre|bon de commande|P.O. |P.O. #NºN °Nº :N ° :,Purchase Order Number|PO Number|P.O. Number|Purchase Order|PO|P.O. |P.O. #|Order Number,Voce Totale|Totale riga|voci totali
Total,Number,F,Y,Company name,Name der Firma|Firmenname|Name des Unternehmens,Nom de la compagnie,Company name,Totale|importo totale|Totale generale|importo
Subtotal,Number,F,,company street address,Firmenstraße|Straße der Firma|Straße des Unternehmens,société adresse de rue,company street address,Totale parziale|Totale parziale|Totale Sub|sub totale|subtotale
Tax/Item Tax,Number,F/TC,,company city,Unternehmensort|Ort des Unternehmens|Stadt des Unternehmens|Stadt der Firma,ville de l'entreprise,company city,fiscale|Tax Articolo|imposto articolo|imposte articolo|tasse articolo
Shipping,Number,F,,company state,Unternehmenstaat|Staat des Unternehmens|Firmenstaat|Staat der Firma,État de l'entreprise,company state,spedizione|invio
Currency,Text,F,,company zip,Postleitzahl des Unternehmens|Postleitzahl der Firma,zip de l'entreprise,company zip,Valuta
Unit of Measure,Text,TC,,Vendor|Vendor name|Supplier|Supplier Name,Der Anbieter|Hersteller Name|Lieferant|Name des Anbieters|Name des Herstellers|Name des Lieferanten|Lieferantenname|Produzent|Herstellername|Anbietername|Der Hersteller|Der Produzent|Der Lieferant,Fournisseur|le nom du vendeur|Nom du fournisseur,Vendor|Vendor name|Supplier|Supplier Name,Unità di misura
Payment Terms,Text,F,,Vendor street address,Hersteller Adresse|Produzenten Adresse|Lieferanten Adresse|Anbieter Adresse ,Adresse de la rue du vendeur,Vendor street address,"Condizioni di pagamento|PO Termini|Termini|Termini di pagamento
| metodo di pagamento"
,,,,Vendor city,Stadt des Herstellers|Lieferanten Adresse|Produzente Adresse|Anbieter Adresse,ville fournisseur,Vendor city,
