Field,Type,Kind,Default,English,German,French,Spanish,Italian
Quantity,Number,TC,Y,Quantity|qty #|item quantity|item qty.|product quantity|product qty.|Qty Ship|Qty Shipp|Qty Shipped|Shipped|Quantity Shipped|Shipped Quantity|Qty,Anzahl|Menge|Quantität|Quantum|Menge #|Artikelmenge|Teil Stück|Teilstück|Produktmenge|Umfang|Mengennummer|Stückzahl,"Quantité|qté #|quantité d'articles|l'article qté.|la quantité de produit|produit qté.,Qté",Cantidad|cantidad #|cantidad de la pieza|Elemento Cant.|cantidad de producto|cantidad de producto.,Quantità|qty #|la quantità voce|voce qty.|la quantità di prodotto|quantità di prodotto|Q.ta|Qta
Unit Price,Number,TC,,Unit Price|Price per unit|price|Per Unit|Price Each|Unit Price Extension,Einzelpreis|Preis pro Stück|Preis|Stückpreis,Prix ​​unitaire|Prix ​​par unité|prix|,"Precio unitario|Precio por unidad|precio|Precio Unit|Precio Unit.,Tarifa",Prezzo unitario|prezzo|Pr. Uni.|Prezzo Unità
Item Total,Number,TC,Y,Item Total|Line Total|Amount|Total Amount|Net Price|Extended Price|Order Total|Extension,Zeilensumme|Linie Gesamt|Gesamt|Artikel Gesamt|Gesamtpreis|Betrag|Nettopreis|Netto|Nettobetrag,"total de ligne,Objet total|Au total","Linea total|Subtotal c/IVA,Importe",totale riga|totale articoli
Freight,Number,F,,"Item Freight|Freight,Freight/Item Freight",Fracht|Frachten|Frachtkosten|Transport|Ladegut|Frachtgut|Ladung|Versand|Porto|Versandkosten|Transportkosten,Fret|transport,Carga|Gastos de Transporte|Transporte,nolo|trasporto|trasporto:|spese trasporto|spese trasporto:|Spese Tras.
Taxes,Number,F,,"Taxes,Item Tax|Tax Amount|Total Tax|Tax Due|Sales Tax|Sales Tax Due|Tax,Taxes/Item Tax",Steuern|Steuerbetrag|Steuer Due|Sales Tax|Sales Tax Due|Mehrwertsteuer|Taxe,taxes|Montant de la taxe|la taxe à payer|la taxe de vente|la taxe de vente Due,Impuestos|Monto de impuestos|impuesto a pagar|impuesto sobre las ventas|impuesto de ventas Debido|IMPUESTO,Le tasse|Importo Tax|imposta dovuta|l'imposta sulle vendite|Sales Tax Due|tasse|tassa|imposta|imposte|tasse totali
Misc Fees,Number,F,,"Misc Fees|Item Misc Fees,Misc Fees/Item Misc Fees",Weitere verschiedene Gebühren|Sonstige Gebühren|Gebühren|Sondergebühren|Zuschlag|Zuschlagsgebühren|Weitere Gebühren| Zusaetzliche Gebühren,Autres frais divers|frais divers,Otros Costos Varios|tasas misceláneos,Altre spese Varie|Tasse Varie|Altre spese
Item Freight,Number,TC,,"Item Freight|Freight,Freight/Item Freight",Fracht|Frachten|Frachtkosten|Transport|Ladegut|Frachtgut|Ladung|Versand|Porto|Versandkosten|Transportkosten,Fret|transport,Carga|Gastos de Transporte|Transporte,nolo|trasporto|trasporto:|spese trasporto|spese trasporto:|Spese Tras.
Item Tax,Number,TC,,"Taxes,Item Tax|Tax Amount|Total Tax|Tax Due|Sales Tax|Sales Tax Due|Tax,Taxes/Item Tax",Steuern|Steuerbetrag|Steuer Due|Sales Tax|Sales Tax Due|Mehrwertsteuer|Taxe,taxes|Montant de la taxe|la taxe à payer|la taxe de vente|la taxe de vente Due,Impuestos|Monto de impuestos|impuesto a pagar|impuesto sobre las ventas|impuesto de ventas Debido|IMPUESTO,Le tasse|Importo Tax|imposta dovuta|l'imposta sulle vendite|Sales Tax Due|tasse|tassa|imposta|imposte|tasse totali
Item Misc Fees,Number,TC,,"Misc Fees|Item Misc Fees,Misc Fees/Item Misc Fees",Weitere verschiedene Gebühren|Sonstige Gebühren|Gebühren|Sondergebühren|Zuschlag|Zuschlagsgebühren|Weitere Gebühren| Zusaetzliche Gebühren,Autres frais divers|frais divers,Otros Costos Varios|tasas misceláneos,Altre spese Varie|Tasse Varie|Altre spese
Sales Order,Text,F,,Sales Order|Sales Order#,Kundenauftrag|Kundenauftrag #|Kundenauftragsnummer|Verkaufsauftrag|Auftragsnummer,Sales Order|Sales Order #,Órdenes de venta|Órdenes de venta#,Ordine di vendita|Ordine di vendita#|ordine di vendita n
Customer Number,Text,F,,Customer Number|Customer No.|Customer #|Cust #|Customer ID.,Kundennummer|Kunden-Nr,Numéro de client|No. de Client|N ° de client|N ° client,"Número de cliente|Nº de cliente|cliente #,CLIENTE Nº :",Numero cliente|No. cliente|il cliente #|cliente n.
Due Date,Date,F,,"Due Date|Invoice Due Date|Date Due,Payment Due Date|Please Pay by|Amount Due in Full by|Due Date for New Charges|Bill Due date|New Charges Due:",Rechnungsfälligkeitsdatum|Fälligkeitsdatum|Bezahldatum|Datum fuer Bezahlung|Bezahlungsdatum|Datum der Bezahlung|Zahlungsfrist|Zahlungsfrist bis zum,Date d'échéance|Facture Due Date,"Fecha de vencimiento|Fecha de vencimiento de la factura|la fecha de parto,FETCHA de Vencimiento",Scadenza|Fattura Due Date|Data di scadenza|Scadenza della fattura|Data di Scadenza della Fattura
Account Name,Text,F,,"Account Name|Account,A/C",Kontobezeichnung|Konto|A / C|Kontenname|Konteninformation|Kontenbezeichnung,Nom du compte|Compte|A / C,Nombre de la cuenta|Cuenta|A / C,Nome utente|Account|A / C|utente
Account Number,Text,F,,"Account Number|Account No.|Account #|Account Code|Acc. Code|Acc. No.,A/C Number,Customer Account|Your Account Number|MCI Account|Foundation Account Number:|Bill Payer ID:","Accountnummer|Kontonummer|Konto-Nummer,Kontocode|Acc. -Code|Acc. No.|A / C Nummer",Numéro de compte|N ° de compte|code de compte|Acc. Code|Acc. Non numéro A / C,Número de cuenta|No. de cuenta|cuenta #|Código de cuenta|Acc. Código|Acc. No.|A / C Número,Numero di conto|Numero conto|account #|Codice account|Acc. Codice|Acc. No|il numero A / C
Status,Text,F,,Status,Status|Verlauf|Verlaufsweg,Statut,Estado,Stato
Billing Address,Text,F,,Billing Address|Invoice To|Bill To|Sold To|Invoice To:|Bill To:|Sold To:,Rechnungsadresse|Rechnung zu,Adresse de facturation|Facture Pour|Bill Pour,"Dirección de Envío|Para factura|Bill Para|Domicilo Commercial,Domicilio",Indirizzo Di Fatturazione|Fattura|per la Fatturazione
Billing Address Street,Text,F,,Billing Address Street,Rechnungsadresse Straße|Straße der Rechnungsadresse,Adresse de facturation Rue,Calle Dirección de facturación,Indirizzo di fatturazione Via|Indirizzo di fatturazione Viale
Billing Address City,Text,F,,Billing Address City,Rechnungsadresse Stadt|Stadt der Rechnungsadresse,Adresse de facturation Ville,"Dirección de facturación Ciudad,localidad,localidad:",Indirizzo di spedizione Città|Indirizzo di spedizione Comune
Billing Address State,Text,F,,Billing Address State,Rechnungsadresse Staat|Staat der Rechnungsadresse|Bundesland der Rechnungsadresse,État Adresse de facturation,Estado Dirección de facturación|Provincia,Stato indirizzo di fatturazione|Regione Indirizzo di fatturazione
Billing Address Zip,Text,F,,Billing Address Zip,Rechnungsadresse Postleitzahl|Postleitzahl der Rechnungsadresse,Adresse de facturation Zip,Dirección postal de facturación,Indirizzo di fatturazione CAP|Indirizzo di fatturazione codice postale|Indirizzo di fatturazione codice d`avviamento postale
Billing Address Country,Text,F,,Billing Address Country,Land der Rechnungsadresse|Rechnungsadresse Land,Adresse de facturation Pays,Dirección de facturación País,Indirizzo di fatturazione Paese
Shipping Address,Text,F,,Shipping Address|Ship To|Delivery Address|Deliver To,Lieferanschrift|Ship To|Lieferadresse|Liefern an|Versandadresse|Adresse,Adresse de livraison|Ship To|livrer à,"Para la nave|dirección de entrega|Entregar a,",indirizzo di spedizione|consegna Indirizzo|consegnare|indirizo di consegna|consegnare a
Shipping Address Street,Text,F,,Shipping Address Street,Lieferadresse Straße|Versandadresse Straße|Straße der Lieferadresse|Straße der Versandadresse,Adresse d'expédition rue,Dirección de envío de la calle,Spedizione Indirizzo Via|Indirizzo di Spedizione Via|Indirizzo di Consegna Via|Spedizione Indirizzo Viale|Indirizzo di Spedizione Viale|Indirizzo di Consegna Viale
Shipping Address City,Text,F,,Shipping Address City,Lieferadresse Stadt|Versandadresse Stadt|Stadt der Lieferadresse|Stadt der Versandadresse,Adresse d'expédition Ville,Dirección de envío Ciudad,Indirizzo di Consegna Città|Indirizzo di Consegna Comune
Shipping Address State,Text,F,,Shipping Address State,Lieferadresse Staat|Versandadresse Staat|Staat der Lieferadresse|Staat der Versandadresse|Lieferadresse Bundesland|Versandadresse Bundesland|Bundesland der Lieferadresse|Bundesland der Versandadresse,État Adresse d'expédition,Estado Dirección de envío,Stato Indirizzo di spedizione|Regione Indirizzo di spedizione|Stato Indirizzo di Consegna|Regione Indirizzo di Consegna|Indirizzo di Consegna Stato|Indirizzo di Consegna Regione
Shipping Address Zip,Text,F,,Shipping Address Zip,Lieferadresse Postleitzahl|Versandadresse Postleitzahl|Postleitzahl der Lieferadresse|Postleitzahl der Versandadresse,Adresse d'expédition Zip,Dirección de envío postal,Indirizzo di spedizione codice postale|Indirizzo di spedizione CAP|Indirizzo di consegna codice postale|Indirizzo di Consegna CAP|Indirizzo di consegna codice d`avviamento postale
Shipping Address Country,Text,F,,Shipping Address Country,Lieferadresse Land|Versandadresse Land|Land der Lieferadresse|Land der Versandadresse,Adresse d'expédition Pays,Dirección de envío de Campo,Indirizzo di spedizione Paese
Subtotal,Number,F,,Subtotal|Sub-total|Sub Total|Net Amount|Net Total,"Zwischensumme,Nettorechnungsbetrag|Nettobetrag|summe netto|Teilsumme|Nettosumme",Total|Sous-total|montant net,"Total parcial|Subtotal|Sub Total|Neto|Importe Neto Gravado|Importe,Subtot.,Importe Neto Gravado:",totale parziale|Totale parziale|sub totale|Somma netta
Subtotal,Number,TC,,Subtotal|Sub-total|Sub Total|Net Amount|Net Total,"Zwischensumme,Nettorechnungsbetrag|Nettobetrag|summe netto|Teilsumme|Nettosumme",Total|Sous-total|montant net,"Total parcial|Subtotal|Sub Total|Neto|Importe Neto Gravado|Importe,Subtot.,Importe Neto Gravado:",totale parziale|Totale parziale|sub totale|Somma netta
FOB,Text,F,,"FOB,F.O.B.,F.O.B","FOB,F.O.B.,F.O.B|Frachtkosten","FOB,F.O.B.,F.O.B","FOB,F.O.B.,F.O.B","FOB,F.O.B.,F.O.B"
Ship Date,Date,F,,Ship Date|Ship,Ship Date|Versandtermin|Sendetermin,Date de navire|Navire,Fecha de envío|Barco,Ship Date|Nave
Service Order Number,Text,F,,S.O. Number| Service Order Number|S.O. No.| Service Order #,Serviceauftragsnummer|Serviceauftrag #|Leistungsnummer|Leistungsauftragnummer|Kundendienstnummer|Kundendienstauftrag|Kundendienst Auftragsnummer|Dienstleistung|DIenstleistungsnummer|Dienstleistungs Auftrag|Dienstleistungs Auftragsnummer,service Numéro de commande|ordre de service #,Número de Orden de Servicio|Orden de Servicio #,"Servizio Numero d'ordine,ordine di servizio #"
Via,Text,F,,Via|Ship Via|Shipped Via,Via Schiff|Per Schiff|Mit Schiff,Via|Via Navire,A través de|a través de la nave,Via|Via Nave
Project,Text,F,,Project,Projekt,Projet,Proyecto,Progetto
Rep,Text,F,,Rep,Vertreter|Reprentant|Firmenrepresenant|Verkaufer|Handelsvertreter|Warenvertreter|Handelsvertreter|Produktvertreter,Représentant,Representante,Rappresentante
Payments,Text,F,,Payments/Credits|payments|credits,Zahlungen / Credits|Zahlung|Bezahlung|Begleichung|Überweisung,"Paiements / Crédits,Forma de pago",Pagos / créditos,Pagamenti / Credits
VAT,Number,F,,VAT,Mehrwertsteuer|Mehrwertsteuer (MWSt)|(MWSt)|MWSt,la TVA|TVA,"IVA|IVA 0%|IVA 2.5%|IVA 10.5%|IVA 21%|IVA 27%|Allcuota IVA|I.V.A. INSC %|IVA 21,0% :,IVA 27,0% :,IVA 10,5% :,IVA 2,5% :,IVA 0,0% :,IVA:|IVA 0%:|IVA 2.5%:|IVA 10.5%:|IVA 21%:|IVA 27%:|Allcuota IVA:|I.V.A. INSC %:",IVA - Imposta Valore Aggiunto|IVA|Imposta Valore Aggiunto
VAT,Number,TC,,VAT,Mehrwertsteuer|Mehrwertsteuer (MWSt)|(MWSt)|MWSt,la TVA|TVA,"IVA|IVA 0%|IVA 2.5%|IVA 10.5%|IVA 21%|IVA 27%|Allcuota IVA|I.V.A. INSC %|IVA 21,0% :,IVA 27,0% :,IVA 10,5% :,IVA 2,5% :,IVA 0,0% :,IVA:|IVA 0%:|IVA 2.5%:|IVA 10.5%:|IVA 21%:|IVA 27%:|Allcuota IVA:|I.V.A. INSC %:",IVA - Imposta Valore Aggiunto|IVA|Imposta Valore Aggiunto
Requisition,Text,F,,Requisition,Bestellanforderung,demande/sollicitation|demande|sollicitation,Solicitud,Richiesta/domanda|Richiesta|domanda
Currency,Text,F,,Currency,Waehrung| Währung,devises,Moneda,Valuta
Unit of Measure,Text,TC,,Unit of Measure|Unit,Maßeinheit,Unité de mesure,U. Medida|Unidad de medida,Unità di misura
